CodigoPrestador,RangoDias,Hospitaloccupancy
50010115001,2019-04-01,4
50010115001,2019-04-02,13
50010115001,2019-04-03,6
50010115001,2019-04-04,12
50010115001,2019-04-05,8
50010115001,2019-04-06,6
50010115001,2019-04-07,6
50010115001,2019-04-08,9
50010115001,2019-04-09,7
50010115001,2019-04-10,11
50010115001,2019-04-11,13
50010115001,2019-04-12,6
50010115001,2019-04-13,9
50010115001,2019-04-14,2
50010115001,2019-04-15,6
50010115001,2019-04-16,4
50010115001,2019-04-17,3
50010115001,2019-04-18,2
50010115001,2019-04-19,1
50010115001,2019-04-20,1
50010115001,2019-04-21,2
50010115001,2019-04-22,4
50010115001,2019-04-23,4
50010115001,2019-04-24,7
50010115001,2019-04-25,9
50010115001,2019-04-26,14
50010115001,2019-04-27,7
50010115001,2019-04-28,4
50010115001,2019-04-29,15
50010115001,2019-04-30,13
50010115001,2019-05-01,10
50010115001,2019-05-02,9
50010115001,2019-05-03,11
50010115001,2019-05-04,12
50010115001,2019-05-05,12
50010115001,2019-05-06,21
50010115001,2019-05-07,16
50010115001,2019-05-08,17
50010115001,2019-05-09,13
50010115001,2019-05-10,16
50010115001,2019-05-11,10
50010115001,2019-05-12,7
50010115001,2019-05-13,23
50010115001,2019-05-14,21
50010115001,2019-05-15,15
50010115001,2019-05-16,16
50010115001,2019-05-17,15
50010115001,2019-05-18,20
50010115001,2019-05-19,7
50010115001,2019-05-20,24
50010115001,2019-05-21,32
50010115001,2019-05-22,23
50010115001,2019-05-23,14
50010115001,2019-05-24,19
50010115001,2019-05-25,11
50010115001,2019-05-26,11
50010115001,2019-05-27,24
50010115001,2019-05-28,28
50010115001,2019-05-29,14
50010115001,2019-05-30,23
50010115001,2019-05-31,16
50010115001,2019-06-01,12
50010115001,2019-06-02,13
50010115001,2019-06-03,23
50010115001,2019-06-04,20
50010115001,2019-06-05,29
50010115001,2019-06-06,15
50010115001,2019-06-07,19
50010115001,2019-06-08,17
50010115001,2019-06-09,8
50010115001,2019-06-10,10
50010115001,2019-06-11,24
50010115001,2019-06-12,28
50010115001,2019-06-13,33
50010115001,2019-06-14,23
50010115001,2019-06-15,25
50010115001,2019-06-16,15
50010115001,2019-06-17,17
50010115001,2019-06-18,35
50010115001,2019-06-19,21
50010115001,2019-06-20,24
50010115001,2019-06-21,18
50010115001,2019-06-22,13
50010115001,2019-06-23,6
50010115001,2019-06-24,10
50010115001,2019-06-25,24
50010115001,2019-06-26,36
50010115001,2019-06-27,29
50010115001,2019-06-28,21
50010115001,2019-06-29,17
50010115001,2019-06-30,17
50010115001,2019-07-01,20
50010115001,2019-07-02,17
50010115001,2019-07-03,31
50010115001,2019-07-04,24
50010115001,2019-07-05,18
50010115001,2019-07-06,17
50010115001,2019-07-07,16
50010115001,2019-07-08,19
50010115001,2019-07-09,27
50010115001,2019-07-10,24
50010115001,2019-07-11,32
50010115001,2019-07-12,17
50010115001,2019-07-13,19
50010115001,2019-07-14,10
50010115001,2019-07-15,23
50010115001,2019-07-16,18
50010115001,2019-07-17,21
50010115001,2019-07-18,28
50010115001,2019-07-19,20
50010115001,2019-07-20,20
50010115001,2019-07-21,20
50010115001,2019-07-22,21
50010115001,2019-07-23,24
50010115001,2019-07-24,15
50010115001,2019-07-25,21
50010115001,2019-07-26,21
50010115001,2019-07-27,14
50010115001,2019-07-28,10
50010115001,2019-07-29,9
50010115001,2019-07-30,11
50010115001,2019-07-31,7
50010115001,2019-08-13,1
50010115001,2019-08-15,1
50010115001,2019-08-16,1
50010115001,2019-08-17,1
50010115001,2019-08-22,1
50010115001,2019-08-23,1
50010115001,2019-08-25,1
50010115001,2019-09-08,2
50010115001,2019-09-09,1
50010115001,2019-09-10,3
50010115001,2019-09-11,4
50010115001,2019-09-15,2
50010115001,2019-09-16,3
50010115001,2019-09-20,3
50010115001,2019-09-22,1
50010115001,2019-09-23,1
50010115001,2019-09-24,2
50010115001,2019-09-25,3
50010115001,2019-09-26,14
50010115001,2019-09-27,14
50010115001,2019-09-28,22
50010115001,2019-09-29,16
50010115001,2019-09-30,11
50010115001,2019-10-01,11
50010115001,2019-10-02,15
50010115001,2019-10-03,15
50010115001,2019-10-04,9
50010115001,2019-10-05,10
50010115001,2019-10-06,10
50010115001,2019-10-07,21
50010115001,2019-10-08,21
50010115001,2019-10-09,21
50010115001,2019-10-10,20
50010115001,2019-10-11,18
50010115001,2019-10-12,10
50010115001,2019-10-13,10
50010115001,2019-10-14,10
50010115001,2019-10-15,14
50010115001,2019-10-16,15
50010115001,2019-10-17,19
50010115001,2019-10-18,17
50010115001,2019-10-19,14
50010115001,2019-10-20,9
50010115001,2019-10-21,20
50010115001,2019-10-22,26
50010115001,2019-10-23,19
50010115001,2019-10-24,18
50010115001,2019-10-25,30
50010115001,2019-10-26,10
50010115001,2019-10-27,14
50010115001,2019-10-28,22
50010115001,2019-10-29,25
50010115001,2019-10-30,33
50010115001,2019-10-31,27
50010115001,2019-11-01,22
50010115001,2019-11-02,20
50010115001,2019-11-03,16
50010115001,2019-11-04,15
50010115001,2019-11-05,28
50010115001,2019-11-06,26
50010115001,2019-11-07,31
50010115001,2019-11-08,18
50010115001,2019-11-09,22
50010115001,2019-11-10,17
50010115001,2019-11-11,17
50010115001,2019-11-12,24
50010115001,2019-11-13,20
50010115001,2019-11-14,22
50010115001,2019-11-15,22
50010115001,2019-11-16,18
50010115001,2019-11-17,19
50010115001,2019-11-18,25
50010115001,2019-11-19,32
50010115001,2019-11-20,33
50010115001,2019-11-21,18
50010115001,2019-11-22,22
50010115001,2019-11-23,18
50010115001,2019-11-24,16
50010115001,2019-11-25,25
50010115001,2019-11-26,24
50010115001,2019-11-27,29
50010115001,2019-11-28,24
50010115001,2019-11-29,22
50010115001,2019-11-30,14
50010115001,2019-12-01,21
50010115001,2019-12-02,34
50010115001,2019-12-03,24
50010115001,2019-12-04,22
50010115001,2019-12-05,26
50010115001,2019-12-06,26
50010115001,2019-12-07,21
50010115001,2019-12-08,17
50010115001,2019-12-09,28
50010115001,2019-12-10,24
50010115001,2019-12-11,13
50010115001,2019-12-12,24
50010115001,2019-12-13,17
50010115001,2019-12-14,21
50010115001,2019-12-15,17
50010115001,2019-12-16,26
50010115001,2019-12-17,11
50010115001,2019-12-18,24
50010115001,2019-12-19,14
50010115001,2019-12-20,17
50010115001,2019-12-21,12
50010115001,2019-12-22,8
50010115001,2019-12-23,15
50010115001,2019-12-24,5
50010115001,2019-12-25,7
50010115001,2019-12-26,15
50010115001,2019-12-27,5
50010115001,2019-12-29,1
50010115001,2019-12-30,3
50010115001,2020-03-08,1
50010115001,2020-04-09,1
50010115001,2020-11-06,1
50010115001,2020-11-20,1
50010115001,2021-02-15,2
50010115001,2021-03-22,1
50010115001,2021-03-24,1
50010115001,2021-03-27,1
50010115001,2021-04-03,1
50010115001,2022-01-05,1
50010115001,2022-01-06,2
50010115001,2022-01-12,1
50010115001,2022-01-14,1
50010115001,2022-01-16,1
50010115001,2022-01-17,1
50010115001,2022-01-18,1
50010115001,2022-01-19,1
50010115001,2022-01-20,1
50010115001,2022-01-21,1
50010115001,2022-01-22,1
50010115001,2022-01-23,1
50010115001,2022-01-24,1
50010115001,2022-01-25,1
50010115001,2022-01-26,1
50010115001,2022-01-27,1
50010115001,2022-01-28,1
50010115001,2022-01-29,1
50010115001,2022-01-30,1
50010115001,2022-01-31,1
50010115001,2022-02-01,1
50010115001,2022-02-02,1
50010115001,2022-02-03,1
50010115001,2022-02-04,1
50010115001,2022-02-05,1
50010115001,2022-02-06,1
50010115001,2022-02-07,2
50010115001,2022-02-08,3
50010115001,2022-02-09,6
50010115001,2022-02-10,1
50010115001,2022-02-11,3
50010115001,2022-02-12,1
50010115001,2022-02-13,1
50010115001,2022-02-14,1
50010115001,2022-02-15,1
50010115001,2022-02-16,2
50010115001,2022-02-17,1
50010115001,2022-02-18,1
50010115001,2022-02-19,2
50010115001,2022-02-20,1
50010115001,2022-02-21,1
50010115001,2022-02-22,1
50010115001,2022-02-23,1
50010115001,2022-02-24,1
50010115001,2022-02-25,1
50010115001,2022-02-26,1
50010115001,2022-02-27,3
50010115001,2022-02-28,7
50010115001,2022-03-01,1
50010115001,2022-03-02,1
50010115001,2022-03-03,1
50010115001,2022-03-04,1
50010115001,2022-03-05,1
50010115001,2022-03-06,1
50010115001,2022-03-07,1
50010115001,2022-03-08,2
50010115001,2022-03-09,2
50010115001,2022-03-10,1
50010115001,2022-03-11,1
50010115001,2022-03-12,1
50010115001,2022-03-13,1
50010115001,2022-03-14,1
50010115001,2022-03-15,1
50010115001,2022-03-16,2
50010115001,2022-03-17,1
50010115001,2022-03-18,2
50010115001,2022-03-19,1
50010115001,2022-03-20,2
50010115001,2022-03-21,2
50010115001,2022-03-22,1
50010115001,2022-03-23,1
50010115001,2022-03-24,1
50010115001,2022-03-25,2
50010115001,2022-03-26,1
50010115001,2022-03-27,1
50010115001,2022-03-28,1
50010115001,2022-03-29,4
50010115001,2022-03-30,2
50010115001,2022-03-31,2
50010115001,2022-04-01,11
50010115001,2022-04-02,11
50010115001,2022-04-03,8
50010115001,2022-04-04,11
50010115001,2022-04-05,9
50010115001,2022-04-06,12
50010115001,2022-04-07,9
50010115001,2022-04-08,14
50010115001,2022-04-09,12
50010115001,2022-04-10,13
50010115001,2022-04-11,18
50010115001,2022-04-12,18
50010115001,2022-04-13,12
50010115001,2022-04-14,8
50010115001,2022-04-15,7
50010115001,2022-04-16,9
50010115001,2022-04-17,11
50010115001,2022-04-18,12
50010115001,2022-04-19,13
50010115001,2022-04-20,11
50010115001,2022-04-21,12
50010115001,2022-04-22,15
50010115001,2022-04-23,13
50010115001,2022-04-24,8
50010115001,2022-04-25,18
50010115001,2022-04-26,23
50010115001,2022-04-27,19
50010115001,2022-04-28,15
50010115001,2022-04-29,12
50010115001,2022-04-30,21
50010115001,2022-05-01,11
50010115001,2022-05-02,9
50010115001,2022-05-03,11
50010115001,2022-05-04,8
50010115001,2022-05-05,8
50010115001,2022-05-06,7
50010115001,2022-05-07,4
50010115001,2022-05-08,5
50010115001,2022-05-09,6
50010115001,2022-05-10,7
50010115001,2022-05-11,9
50010115001,2022-05-12,17
50010115001,2022-05-13,16
50010115001,2022-05-14,10
50010115001,2022-05-15,10
50010115001,2022-05-16,13
50010115001,2022-05-17,17
50010115001,2022-05-18,15
50010115001,2022-05-19,19
50010115001,2022-05-20,13
50010115001,2022-05-21,12
50010115001,2022-05-22,12
50010115001,2022-05-23,16
50010115001,2022-05-24,18
50010115001,2022-05-25,15
50010115001,2022-05-26,14
50010115001,2022-05-27,14
50010115001,2022-05-28,14
50010115001,2022-05-29,14
50010115001,2022-05-30,13
50010115001,2022-05-31,9
50010115001,2022-06-01,7
50010115001,2022-06-02,6
50010115001,2022-06-03,6
50010115001,2022-06-04,6
50010115001,2022-06-05,6
50010115001,2022-06-06,6
50010115001,2022-06-07,6
50010115001,2022-06-08,6
50010115001,2022-06-09,6
50010115001,2022-06-10,7
50010115001,2022-06-11,6
50010115001,2022-06-12,6
50010115001,2022-06-13,7
50010115001,2022-06-14,6
50010115001,2022-06-15,6
50010115001,2022-06-16,6
50010115001,2022-06-17,7
50010115001,2022-06-18,6
50010115001,2022-06-19,6
50010115001,2022-06-20,6
50010115001,2022-06-21,6
50010115001,2022-06-22,7
50010115001,2022-06-23,6
50010115001,2022-06-24,6
50010115001,2022-06-25,6
50010115001,2022-06-26,6
50010115001,2022-06-27,6
50010115001,2022-06-28,6
50010115001,2022-06-29,7
50010115001,2022-06-30,9
50010115001,2022-07-01,7
50010115001,2022-07-02,8
50010115001,2022-07-03,8
50010115001,2022-07-04,6
50010115001,2022-07-05,9
50010115001,2022-07-06,9
50010115001,2022-07-07,6
50010115001,2022-07-08,9
50010115001,2022-07-09,9
50010115001,2022-07-10,10
50010115001,2022-07-11,13
50010115001,2022-07-12,10
50010115001,2022-07-13,12
50010115001,2022-07-14,11
50010115001,2022-07-15,10
50010115001,2022-07-16,9
50010115001,2022-07-17,9
50010115001,2022-07-18,13
50010115001,2022-07-19,14
50010115001,2022-07-20,15
50010115001,2022-07-21,11
50010115001,2022-07-22,11
50010115001,2022-07-23,9
50010115001,2022-07-24,7
50010115001,2022-07-25,12
50010115001,2022-07-26,11
50010115001,2022-07-27,13
50010115001,2022-07-28,12
50010115001,2022-07-29,12
50010115001,2022-07-30,14
50010115001,2022-07-31,8
50010115001,2022-08-01,18
50010115001,2022-08-02,22
50010115001,2022-08-03,18
50010115001,2022-08-04,17
50010115001,2022-08-05,11
50010115001,2022-08-06,9
50010115001,2022-08-07,10
50010115001,2022-08-08,14
50010115001,2022-08-09,9
50010115001,2022-08-10,9
50010115001,2022-08-11,8
50010115001,2022-08-12,10
50010115001,2022-08-13,11
50010115001,2022-08-14,15
50010115001,2022-08-15,7
50010115001,2022-08-16,10
50010115001,2022-08-17,13
50010115001,2022-08-18,14
50010115001,2022-08-19,5
50010115001,2022-08-20,9
50010115001,2022-08-21,7
50010115001,2022-08-22,10
50010115001,2022-08-23,16
50010115001,2022-08-24,12
50010115001,2022-08-25,10
50010115001,2022-08-26,8
50010115001,2022-08-27,4
50010115001,2022-08-28,7
50010115001,2022-08-29,9
50010115001,2022-08-30,4
50010115001,2022-08-31,10
50010115001,2022-09-01,12
50010115001,2022-09-02,21
50010115001,2022-09-03,14
50010115001,2022-09-04,11
50010115001,2022-09-05,13
50010115001,2022-09-06,23
50010115001,2022-09-07,23
50010115001,2022-09-08,18
50010115001,2022-09-09,11
50010115001,2022-09-10,8
50010115001,2022-09-11,8
50010115001,2022-09-12,13
50010115001,2022-09-13,17
50010115001,2022-09-14,10
50010115001,2022-09-15,20
50010115001,2022-09-16,5
50010115001,2022-09-17,10
50010115001,2022-09-18,9
50010115001,2022-09-19,15
50010115001,2022-09-20,5
50010115001,2022-09-21,4
50010115001,2022-09-22,6
50010115001,2022-09-23,7
50010115001,2022-09-24,2
50010115001,2022-09-25,1
50010115001,2022-09-26,7
50010115001,2022-09-27,18
50010115001,2022-09-28,9
50010115001,2022-09-29,8
50010115001,2022-09-30,19
50010115001,2022-10-01,8
50010115001,2022-10-02,5
50010115001,2022-10-03,15
50010115001,2022-10-04,11
50010115001,2022-10-05,9
50010115001,2022-10-06,12
50010115001,2022-10-07,14
50010115001,2022-10-08,6
50010115001,2022-10-09,9
50010115001,2022-10-10,18
50010115001,2022-10-11,21
50010115001,2022-10-12,19
50010115001,2022-10-13,10
50010115001,2022-10-14,21
50010115001,2022-10-15,12
50010115001,2022-10-16,9
50010115001,2022-10-17,12
50010115001,2022-10-18,15
50010115001,2022-10-19,17
50010115001,2022-10-20,19
50010115001,2022-10-21,12
50010115001,2022-10-22,11
50010115001,2022-10-23,7
50010115001,2022-10-24,13
50010115001,2022-10-25,10
50010115001,2022-10-26,16
50010115001,2022-10-27,29
50010115001,2022-10-28,17
50010115001,2022-10-29,13
50010115001,2022-10-30,14
50010115001,2022-10-31,17
50010115001,2022-11-01,27
50010115001,2022-11-02,18
50010115001,2022-11-03,22
50010115001,2022-11-04,15
50010115001,2022-11-05,9
50010115001,2022-11-06,14
50010115001,2022-11-07,15
50010115001,2022-11-08,16
50010115001,2022-11-09,12
50010115001,2022-11-10,15
50010115001,2022-11-11,16
50010115001,2022-11-12,16
50010115001,2022-11-13,13
50010115001,2022-11-14,10
50010115001,2022-11-15,17
50010115001,2022-11-16,18
50010115001,2022-11-17,16
50010115001,2022-11-18,18
50010115001,2022-11-19,14
50010115001,2022-11-20,13
50010115001,2022-11-21,28
50010115001,2022-11-22,29
50010115001,2022-11-23,14
50010115001,2022-11-24,9
50010115001,2022-11-25,20
50010115001,2022-11-26,13
50010115001,2022-11-27,9
50010115001,2022-11-28,15
50010115001,2022-11-29,20
50010115001,2022-11-30,11
50010115001,2022-12-01,19
50010115001,2022-12-02,23
50010115001,2022-12-03,16
50010115001,2022-12-04,7
50010115001,2022-12-05,18
50010115001,2022-12-06,10
50010115001,2022-12-07,12
50010115001,2022-12-08,7
50010115001,2022-12-09,16
50010115001,2022-12-10,14
50010115001,2022-12-11,11
50010115001,2022-12-12,21
50010115001,2022-12-13,20
50010115001,2022-12-14,22
50010115001,2022-12-15,14
50010115001,2022-12-16,21
50010115001,2022-12-17,17
50010115001,2022-12-18,22
50010115001,2022-12-19,12
50010115001,2022-12-20,17
50010115001,2022-12-21,12
50010115001,2022-12-22,17
50010115001,2022-12-23,13
50010115001,2022-12-24,7
50010115001,2022-12-25,13
50010115001,2022-12-26,19
50010115001,2022-12-27,16
50010115001,2022-12-28,9
50010115001,2022-12-29,9
50010115001,2022-12-30,12
50010115001,2022-12-31,5
50010115001,2023-01-01,2
50010115001,2023-01-02,2
50010115001,2023-01-03,1
50010115001,2023-01-04,1
50010115001,2023-01-05,1
50010115001,2023-01-06,1
50010115001,2023-01-07,1
50010115001,2023-01-08,1
50010115001,2023-01-09,1
50010115001,2023-01-10,1
50010115001,2023-01-11,1
50010115001,2023-01-12,1
50010115001,2023-01-13,1
50010115001,2023-01-14,1
50010115001,2023-01-15,1
50010115001,2023-01-16,1
50010115001,2023-01-17,1
50010115001,2023-01-18,1
50010209201,2019-01-01,18
50010209201,2019-01-02,28
50010209201,2019-01-03,28
50010209201,2019-01-04,27
50010209201,2019-01-05,27
50010209201,2019-01-06,31
50010209201,2019-01-07,32
50010209201,2019-01-08,30
50010209201,2019-01-09,30
50010209201,2019-01-10,26
50010209201,2019-01-11,37
50010209201,2019-01-12,26
50010209201,2019-01-13,23
50010209201,2019-01-14,35
50010209201,2019-01-15,27
50010209201,2019-01-16,30
50010209201,2019-01-17,41
50010209201,2019-01-18,37
50010209201,2019-01-19,34
50010209201,2019-01-20,29
50010209201,2019-01-21,30
50010209201,2019-01-22,28
50010209201,2019-01-23,38
50010209201,2019-01-24,35
50010209201,2019-01-25,27
50010209201,2019-01-26,30
50010209201,2019-01-27,26
50010209201,2019-01-28,46
50010209201,2019-01-29,24
50010209201,2019-01-30,38
50010209201,2019-01-31,30
50010209201,2019-02-01,30
50010209201,2019-02-02,38
50010209201,2019-02-03,36
50010209201,2019-02-04,37
50010209201,2019-02-05,35
50010209201,2019-02-06,37
50010209201,2019-02-07,32
50010209201,2019-02-08,25
50010209201,2019-02-09,35
50010209201,2019-02-10,38
50010209201,2019-02-11,36
50010209201,2019-02-12,39
50010209201,2019-02-13,39
50010209201,2019-02-14,33
50010209201,2019-02-15,29
50010209201,2019-02-16,22
50010209201,2019-02-17,30
50010209201,2019-02-18,34
50010209201,2019-02-19,38
50010209201,2019-02-20,35
50010209201,2019-02-21,37
50010209201,2019-02-22,34
50010209201,2019-02-23,30
50010209201,2019-02-24,35
50010209201,2019-02-25,45
50010209201,2019-02-26,45
50010209201,2019-02-27,29
50010209201,2019-02-28,22
50010209201,2019-03-01,34
50010209201,2019-03-02,22
50010209201,2019-03-03,31
50010209201,2019-03-04,30
50010209201,2019-03-05,34
50010209201,2019-03-06,40
50010209201,2019-03-07,28
50010209201,2019-03-08,31
50010209201,2019-03-09,32
50010209201,2019-03-10,34
50010209201,2019-03-11,43
50010209201,2019-03-12,37
50010209201,2019-03-13,37
50010209201,2019-03-14,34
50010209201,2019-03-15,29
50010209201,2019-03-16,26
50010209201,2019-03-17,27
50010209201,2019-03-18,37
50010209201,2019-03-19,31
50010209201,2019-03-20,37
50010209201,2019-03-21,43
50010209201,2019-03-22,23
50010209201,2019-03-23,30
50010209201,2019-03-24,35
50010209201,2019-03-25,26
50010209201,2019-03-26,32
50010209201,2019-03-27,31
50010209201,2019-03-28,36
50010209201,2019-03-29,29
50010209201,2019-03-30,37
50010209201,2019-03-31,28
50010209201,2019-04-01,37
50010209201,2019-04-02,31
50010209201,2019-04-03,36
50010209201,2019-04-04,27
50010209201,2019-04-05,30
50010209201,2019-04-06,31
50010209201,2019-04-07,34
50010209201,2019-04-08,38
50010209201,2019-04-09,39
50010209201,2019-04-10,44
50010209201,2019-04-11,38
50010209201,2019-04-12,42
50010209201,2019-04-13,26
50010209201,2019-04-14,33
50010209201,2019-04-15,35
50010209201,2019-04-16,31
50010209201,2019-04-17,34
50010209201,2019-04-18,20
50010209201,2019-04-19,31
50010209201,2019-04-20,33
50010209201,2019-04-21,34
50010209201,2019-04-22,44
50010209201,2019-04-23,33
50010209201,2019-04-24,35
50010209201,2019-04-25,27
50010209201,2019-04-26,29
50010209201,2019-04-27,24
50010209201,2019-04-28,31
50010209201,2019-04-29,41
50010209201,2019-04-30,24
50010209201,2019-05-01,23
50010209201,2019-05-02,41
50010209201,2019-05-03,26
50010209201,2019-05-04,29
50010209201,2019-05-05,24
50010209201,2019-05-06,44
50010209201,2019-05-07,43
50010209201,2019-05-08,23
50010209201,2019-05-09,33
50010209201,2019-05-10,38
50010209201,2019-05-11,26
50010209201,2019-05-12,30
50010209201,2019-05-13,40
50010209201,2019-05-14,27
50010209201,2019-05-15,39
50010209201,2019-05-16,35
50010209201,2019-05-17,39
50010209201,2019-05-18,32
50010209201,2019-05-19,31
50010209201,2019-05-20,30
50010209201,2019-05-21,25
50010209201,2019-05-22,20
50010209201,2019-05-23,36
50010209201,2019-05-24,23
50010209201,2019-05-25,32
50010209201,2019-05-26,34
50010209201,2019-05-27,35
50010209201,2019-05-28,31
50010209201,2019-05-29,41
50010209201,2019-05-30,37
50010209201,2019-05-31,27
50010209201,2019-06-01,29
50010209201,2019-06-02,27
50010209201,2019-06-03,31
50010209201,2019-06-04,39
50010209201,2019-06-05,34
50010209201,2019-06-06,35
50010209201,2019-06-07,45
50010209201,2019-06-08,29
50010209201,2019-06-09,27
50010209201,2019-06-10,28
50010209201,2019-06-11,32
50010209201,2019-06-12,26
50010209201,2019-06-13,34
50010209201,2019-06-14,34
50010209201,2019-06-15,23
50010209201,2019-06-16,20
50010209201,2019-06-17,37
50010209201,2019-06-18,32
50010209201,2019-06-19,30
50010209201,2019-06-20,31
50010209201,2019-06-21,38
50010209201,2019-06-22,32
50010209201,2019-06-23,23
50010209201,2019-06-24,30
50010209201,2019-06-25,29
50010209201,2019-06-26,39
50010209201,2019-06-27,33
50010209201,2019-06-28,33
50010209201,2019-06-29,27
50010209201,2019-06-30,25
50010209201,2019-07-01,31
50010209201,2019-07-02,21
50010209201,2019-07-03,32
50010209201,2019-07-04,23
50010209201,2019-07-05,29
50010209201,2019-07-06,25
50010209201,2019-07-07,23
50010209201,2019-07-08,29
50010209201,2019-07-09,33
50010209201,2019-07-10,24
50010209201,2019-07-11,27
50010209201,2019-07-12,26
50010209201,2019-07-13,23
50010209201,2019-07-14,18
50010209201,2019-07-15,25
50010209201,2019-07-16,20
50010209201,2019-07-17,23
50010209201,2019-07-18,18
50010209201,2019-07-19,19
50010209201,2019-07-20,27
50010209201,2019-07-21,19
50010209201,2019-07-22,24
50010209201,2019-07-23,20
50010209201,2019-07-24,30
50010209201,2019-07-25,12
50010209201,2019-07-26,23
50010209201,2019-07-27,18
50010209201,2019-07-28,20
50010209201,2019-07-29,11
50010209201,2019-08-01,1
50010209201,2019-08-05,1
50010209201,2019-08-06,2
50010209201,2019-08-16,2
50010209201,2019-08-18,1
50010209201,2019-08-23,1
50010209201,2019-08-26,2
50010209201,2019-08-27,2
50010209201,2019-08-30,1
50010209201,2019-09-01,1
50010209201,2019-09-02,1
50010209201,2019-09-05,1
50010209201,2019-09-07,1
50010209201,2019-09-08,1
50010209201,2019-09-09,2
50010209201,2019-09-10,1
50010209201,2019-09-14,1
50010209201,2019-09-15,1
50010209201,2019-09-17,2
50010209201,2019-09-18,2
50010209201,2019-09-19,1
50010209201,2019-09-20,1
50010209201,2019-09-22,1
50010209201,2019-09-23,1
50010209201,2019-09-24,1
50010209201,2019-09-25,1
50010209201,2019-09-27,3
50010209201,2019-09-29,4
50010209201,2019-09-30,5
50010209201,2019-10-01,3
50010209201,2019-10-02,1
50010209201,2019-10-04,3
50010209201,2019-10-06,1
50010209201,2019-10-07,1
50010209201,2019-10-08,5
50010209201,2019-10-09,1
50010209201,2019-10-12,1
50010209201,2019-10-14,1
50010209201,2019-10-16,3
50010209201,2019-10-17,3
50010209201,2019-10-19,2
50010209201,2019-10-20,1
50010209201,2019-10-21,1
50010209201,2019-10-22,1
50010209201,2019-10-23,4
50010209201,2019-10-24,3
50010209201,2019-10-25,5
50010209201,2019-10-26,1
50010209201,2019-10-27,2
50010209201,2019-10-28,4
50010209201,2019-10-29,2
50010209201,2019-10-30,5
50010209201,2019-10-31,2
50010209201,2019-11-01,3
50010209201,2019-11-02,1
50010209201,2019-11-03,5
50010209201,2019-11-04,1
50010209201,2019-11-05,2
50010209201,2019-11-06,2
50010209201,2019-11-07,2
50010209201,2019-11-08,3
50010209201,2019-11-09,2
50010209201,2019-11-11,6
50010209201,2019-11-12,1
50010209201,2019-11-13,4
50010209201,2019-11-14,4
50010209201,2019-11-15,8
50010209201,2019-11-17,3
50010209201,2019-11-18,8
50010209201,2019-11-19,7
50010209201,2019-11-20,6
50010209201,2019-11-21,10
50010209201,2019-11-22,7
50010209201,2019-11-23,7
50010209201,2019-11-24,11
50010209201,2019-11-25,9
50010209201,2019-11-26,12
50010209201,2019-11-27,14
50010209201,2019-11-28,15
50010209201,2019-11-29,7
50010209201,2019-11-30,11
50010209201,2019-12-01,16
